Code	Preferred Term	Synonyms	Definition	Neoplastic Status
C9087	Kaposi Sarcoma	Kaposi's Sarcoma|Multiple Hemorrhagic Sarcoma	A malignant neoplasm characterized by a vascular proliferation which usually contains blunt endothelial cells. Erythrocyte extravasation and hemosiderin deposition are frequently present. The most frequent site of involvement is the skin; however it may also occur internally. It generally develops in people with compromised immune systems including those with acquired immune deficiency syndrome (AIDS).	Malignant
C27510	Kaposiform Hemangioendothelioma		"An intermediate, locally aggressive blood vessel neoplasm characterized by the presence of spindle endothelial cells, and formation of capillary-sized and slit-like vascular channels.  It is often associated with hemorrhage and hemosiderin deposition."	Undetermined
C3146	Keratoacanthoma		"A dome-shaped, rapidly growing skin lesion composed of well differentiated squamous cells.  It represents a proliferation of the infundibular epithelium of the hair follicle and its morphologic distinction from a well differentiated carcinoma may be difficult or impossible.  Keratoacanthomas affect males more frequently than females and the majority tend to regress spontaneously.  It has been suggested that keratoacanthoma represents a distinct subtype of squamous cell carcinoma of the skin."	Undetermined
C9384	Kidney Carcinoma	Kidney Cancer|Renal Cancer|Renal Carcinoma	"A carcinoma arising from the epithelium of the renal parenchyma or the renal pelvis.  The majority are renal cell carcinomas.  Kidney carcinomas usually affect middle aged and elderly adults.  Hematuria, abdominal pain, and a palpable mass are common symptoms."	Malignant
C7572	Kidney Medullary Carcinoma	Renal Medullary Carcinoma	"A type of renal carcinoma affecting mostly young African-Americans.  It is located in the medulla of the kidney, and follows an aggressive clinical course.  Most reported cases have shown metastatic disease at the time of diagnosis."	Malignant
C4526	Kidney Oncocytoma	Oncocytoma of Kidney|Oncocytoma of the Kidney|Renal Epithelial Oncocytic Neoplasm|Renal Epithelial Oncocytic Tumor|Renal Oncocytoma	"A benign tumor of the kidney, characterized by the presence of large cells with abundant eosinophilic granular cytoplasm.  The majority of these tumors are discovered incidentally, during work-up of other conditions."	Undetermined
C40407	Kidney Wilms Tumor	Nephroblastoma|Renal Wilms Tumor|Renal Wilms' Tumor|Wilms Tumor of the Kidney|Wilms' Tumor of the Kidney	"An embryonal pediatric tumor of the kidney which may also be seen rarely in adults. The peak incidence of Wilms tumor is between the second and fifth year of life. Microscopically, it is composed of a mixture of cellular elements (blastemal, stromal, and epithelial). The most common sites of metastasis include the regional lymph nodes, lungs, and liver."	Malignant
C9363	Labia Majora Carcinoma	Carcinoma of Labia Majora|Carcinoma of the Labia Majora|Labia Majora Cancer	A carcinoma that arises from the labia majora.	Malignant
C9364	Labia Minora Carcinoma	Carcinoma of Labia Minora|Carcinoma of the Labia Minora|Labia Minora Cancer	A carcinoma that arises from the labia minora.	Malignant
C6129	Lacrimal Gland Carcinoma	Carcinoma of Lacrimal Gland|Carcinoma of the Lacrimal Gland	"A carcinoma that arises from the lacrimal glands. Representative examples include adenocarcinoma, carcinoma ex pleomorphic adenoma, squamous cell carcinoma, adenoid cystic carcinoma, and mucoepidermoid carcinoma."	Malignant
C6804	Lacrimal Gland Carcinoma ex Pleomorphic Adenoma	Carcinoma ex Pleomorphic Adenoma of Lacrimal Gland|Carcinoma ex Pleomorphic Adenoma of the Lacrimal Gland|Lacrimal Gland Malignant Mixed Neoplasm|Lacrimal Gland Malignant Mixed Tumor|Malignant Mixed Neoplasm of Lacrimal Gland|Malignant Mixed Neoplasm of the Lacrimal Gland|Malignant Mixed Tumor of Lacrimal Gland|Malignant Mixed Tumor of the Lacrimal Gland		Malignant
C3107	Langerhans Cell Histiocytosis	Histiocytosis X|Langerhans Cell Granulomatosis|Langerhans Cell Histiocytosis	"A neoplastic proliferation of Langerhans cells which contain Birbeck granules by ultrastructural examination. Three major overlapping syndromes are recognized: eosinophilic granuloma, Letterer-Siwe disease, and Hand-Schuller-Christian disease. The clinical course is generally related to the number of organs affected at presentation. (WHO, 2001)"	Undetermined
C6921	Langerhans Cell Sarcoma	Langerhans Cell Sarcoma	"A neoplastic proliferation of Langerhans cells with overtly malignant cytologic features.  It can be considered a higher grade variant of Langerhans cell histiocytosis (LCH) and it can present de novo or progress from antecedent LCH. (WHO, 2001)"	Malignant
C3780	Large Cell Carcinoma	"Carcinoma, Large Cell|Large Cell Carcinoma"	"A malignant epithelial neoplasm composed of large, atypical cells."	Malignant
C4450	Large Cell Lung Carcinoma	Anaplastic Lung Carcinoma|Large Cell Carcinoma of Lung|Large Cell Carcinoma of the Lung|Large Cell Undifferentiated Lung Carcinoma	A poorly differentiated non-small cell lung carcinoma composed of large polygonal cells without evidence of glandular or squamous differentiation.  There is a male predilection.	Malignant
C6876	Large Cell Lung Carcinoma with Rhabdoid Phenotype	Large Cell Carcinoma with Rhabdoid Phenotype	A rare poorly differentiated morphologic variant of large cell lung carcinoma characterized by the presence of rhabdoid cells.	Malignant
C4451	"Large Cell Lung Carcinoma, Clear Cell Variant"	"Clear Cell Carcinoma of Lung, Large Cell Type|Clear Cell Carcinoma of the Lung, Large Cell Type|Clear Cell Lung Carcinoma, Large Cell Type"	A morphologic variant of large cell lung carcinoma characterized by a predominance of clear cells that may or may not contain glycogen.	Malignant
C5672	Large Cell Lung Neuroendocrine Carcinoma	Large Cell Lung Carcinoma with Neuroendocrine Differentiation|Large Cell Neuroendocrine Carcinoma of Lung|Large Cell Neuroendocrine Carcinoma of the Lung|Pulmonary Large Cell Neuroendocrine Carcinoma	A high grade malignant neoplasm that arises from the lung and is characterized by the presence of large neuroendocrine cells.  It usually has an aggressive clinical course.	Malignant
C6875	Large Cell Neuroendocrine Carcinoma	Large Cell NEC|Large Cell Neuroendocrine Carcinoma|Large-cell neuroendocrine carcinoma	"A usually aggressive carcinoma composed of large malignant cells which display neuroendocrine characteristics. It is characterized by the presence of high mitotic activity and necrotic changes. The vast majority of cases are positive for neuron-specific enolase. Representative examples include lung, breast, cervical, and thymic neuroendocrine carcinomas."	Malignant
C4044	Laryngeal Squamous Cell Carcinoma	Epidermoid Carcinoma of Larynx|Epidermoid Carcinoma of the Larynx|Laryngeal Epidermoid Carcinoma|Larynx Epidermoid Carcinoma|Larynx Squamous Cell Carcinoma|Squamous Cell Carcinoma of Larynx|Squamous Cell Carcinoma of the Larynx	"A squamous cell carcinoma that arises from the larynx.  It is the most common histologic type of laryngeal carcinoma.  It can arise from the glottis, supraglottic area, or it can be transglottic.  Glottic squamous cell carcinoma is the most frequent laryngeal carcinoma in the United States.  The symptoms, clinical behavior and the prognosis depend on the site of origin within the larynx."	Malignant
C3157	Leiomyoma	Fibroid|Leiomyomatous Tumor	"A well-circumscribed benign smooth muscle neoplasm characterized by the presence of spindle cells with cigar-shaped nuclei, interlacing fascicles, and a whorled pattern."	Benign
C3158	Leiomyosarcoma	Leiomyosarcoma	"An uncommon, aggressive malignant smooth muscle neoplasm, usually occurring in post-menopausal women.  It is characterized by a proliferation of neoplastic spindle cells.  Morphologic variants include epithelioid, granular cell, inflammatory and myxoid leimyosarcomas."	Malignant
C9151	Lentigo Maligna Melanoma	Lentigo Maligna Melanoma|Malignant Lentigo Melanoma	"A melanoma of the skin characterized by single cell infiltration of the papillary dermis by atypical melanocytes, in a background of lentigo maligna changes."	Malignant
C123160	Lepidic Predominant Adenocarcinoma	Lepidic Predominant Adenocarcinoma	A lung adenocarcinoma characterized by the presence of mildly and moderately differentiated adenocarcinoma cells across the alveolar walls with at least one focus of invasive carcinoma measuring more than 5 mm in greatest dimension.	Malignant
C3160	Letterer-Siwe Disease		"A multifocal, multisystem form of Langerhans-cell histiocytosis. There is involvement of multiple organ systems including the bones, skin, liver, spleen, and lymph nodes. Patients are usually infants presenting with fever, hepatosplenomegaly, lymphadenopathy, bone and skin lesions, and pancytopenia."	Malignant
C3161	Leukemia	Blood (Leukemia)|Leukemia	"A malignant (clonal) hematologic disorder, involving hematopoietic stem cells and characterized by the presence of primitive or atypical myeloid or lymphoid cells in the bone marrow and the blood. Leukemias are classified as acute or chronic based on the degree of cellular differentiation and the predominant cell type present. Leukemia is usually associated with anemia, fever, hemorrhagic episodes, and splenomegaly. Common leukemias include acute myeloid leukemia, chronic myelogenous leukemia, acute lymphoblastic or precursor lymphoblastic leukemia, and chronic lymphocytic leukemia. Treatment is vital to patient survival; untreated, the natural course of acute leukemias is normally measured in weeks or months, while that of chronic leukemias is more often measured in months or years."	Malignant
C121153	LH-Producing Pituitary Gland Adenoma		An adenoma of the anterior lobe of the pituitary gland that produces luteinizing hormone (LH).	Benign
C9315	Lip and Oral Cavity Carcinoma	Lip and Oral Cavity Cancer|Oral Cancer|Oral Carcinoma	"A carcinoma arising in the lip or oral cavity.  Most oral cavity carcinomas are squamous cell carcinomas of the tongue, buccal mucosa, or gums.  Less frequent morphologic variants include mucoepidermoid carcinoma and adenocarcinoma.  Lip carcinomas are usually basal cell or squamous cell carcinomas."	Malignant
C42690	Lip and Oral Cavity Squamous Cell Carcinoma		"A squamous cell carcinoma arising from the lip or the oral cavity.  The oral cavity squamous cell carcinoma usually arises from the buccal mucosa, tongue, or gums.  It occurs predominantly in adults who use tobacco and alcohol and has a tendency to metastasize early to lymph nodes."	Malignant
C8014	Lip Basal Cell Carcinoma	Basal Cell Carcinoma of Lip|Basal Cell Carcinoma of the Lip	A basal cell carcinoma arising from the lip.	Malignant
C3490	Lip Carcinoma	Carcinoma of Lip|Carcinoma of the Lip	A malignant epithelial neoplasm arising from the lips.	Malignant
C4042	Lip Squamous Cell Carcinoma	Lip SCC|SCC of Lip|SCC of the Lip|Squamous Cell Carcinoma of Lip|Squamous Cell Carcinoma of the Lip	"A squamous cell carcinoma that arises from the lip.  It affects males more often than females and it usually involves the lower lip.  Risk factors include UV exposure, alcohol consumption, smoking, and immunosuppression."	Malignant
C27483	Lipoblastoma	Embryonic Lipoma|Fetal Lipoma|Infantile Lipoma	"A lipoma usually occurring in the extremities of young children (usually boys). It is characterized by lobules of adipose tissue, separated by fibrous septa.  The adipose tissue is composed of mature adipocytes and lipoblasts. The lipoblasts may be scarce, depending on the age of the patient."	Benign
C3192	Lipoma		"A benign, usually painless, well-circumscribed lipomatous tumor composed of adipose tissue."	Benign
C3193	Lipomatosis	Launois-Bensaude Syndrome|Madelung Disease|Madelung's Disease	A neoplastic process characterized by diffuse overgrowth of mature adipose tissue.	Benign
C3194	Liposarcoma	Liposarcoma Not Otherwise Specified	"A usually painless malignant tumor that arises from adipose tissue.  Microscopically, it may contain a spectrum of neoplastic adipocytes ranging from lipoblasts to pleomorphic malignant adipocytes.  Morphologic variants include: well differentiated, dedifferentiated, pleomorphic, and myxoid liposarcoma.  The metastatic potential is higher in less differentiated tumors."	Malignant
C7927	Liver and Intrahepatic Bile Duct Carcinoma	Cancer of Liver and Intrahepatic Biliary Tract|Cancer of Liver|Cancer of the Liver and Intrahepatic Biliary Tract|Cancer of the Liver|Hepatic Cancer|Liver Cancer|Liver and Intrahepatic Bile Duct Cancer|Liver and Intrahepatic Biliary Tract Cancer|Liver and Intrahepatic Biliary Tract Carcinoma|Primary Liver Carcinoma	A carcinoma that arises from the hepatocytes or intrahepatic bile ducts.  The main subtypes are hepatocellular carcinoma (hepatoma) and cholangiocarcinoma.	Malignant
C96848	Liver Carcinosarcoma	Hepatic Carcinosarcoma	"An aggressive carcinoma with a sarcomatous component that arises from the liver.  The sarcomatous component is clonally related to the more differentiated, carcinomatous component.  The prognosis is usually poor."	Malignant
