?concentration_phenotype	?label	?definition	?parents
<http://purl.obolibrary.org/obo/HP_0025050>	"Elevated brain creatine level by MRS"@en	"An increase in the level of creatine in the brain identified by magnetic resonance spectroscopy (MRS)."	"Abnormal brain creatine level by MRS"
<http://purl.obolibrary.org/obo/HP_0025641>	"Elevated circulating glycolate concentration"@en	"The concentration of glycolate in the blood circulation is above the upper limit of normal."	"Abnormal circulating monocarboxylic acid concentration"
<http://purl.obolibrary.org/obo/HP_0034652>	"Elevated urine octenedioic acid level"	"The concentration of octenedioic acid in the urine, normalized for urine concentration, is above the upper limit of normal."	"Dicarboxylic aciduria"
<http://purl.obolibrary.org/obo/HP_0032652>	"Elevated CSF chitotriosidase 1 concentration"	"Increased concentration of chitotriosidase 1 in cerebrospinal fluid."	"Abnormal CSF protein concentration"
<http://purl.obolibrary.org/obo/HP_0003164>	"Hypothalamic gonadotropin-releasing hormone deficiency"		"Abnormal gonadotropin-releasing hormone concentration"
<http://purl.obolibrary.org/obo/HP_0410144>	"Abnormal circulating biotinidase concentration"	"An abnormality in the biotinidase level, an enzyme that releases biotin from biocytin, the product of biotin-dependent carboxylases degradation."	"Abnormal circulating enzyme concentration or activity"
<http://purl.obolibrary.org/obo/HP_0004861>	"Refractory macrocytic anemia"		"Macrocytic anemia"
<http://purl.obolibrary.org/obo/HP_0031424>	"Abnormal circulating beta-C-terminal telopeptide concentration"	"A deviation from the normal concentration of beta-C-terminal telopeptide of type I collagen in the blood circulation, a marker of the rate of bone turnover."	"Abnormal circulating protein concentration"
<http://purl.obolibrary.org/obo/HP_0034686>	"Reduced hepatic urocanase activity"	"Activity of urocanase in the liver below the lower limit of normal."	"Abnormal liver enzyme activity or concentration"
<http://purl.obolibrary.org/obo/HP_0031956>	"Elevated circulating aspartate aminotransferase concentration"	"The concentration of aspartate aminotransferase (AST) in the blood circulation is above the upper limit of normal."	"Elevated circulating hepatic transaminase concentration"
<http://purl.obolibrary.org/obo/HP_0034172>	"Increased circulating interleukin 23 concentration"	"An abnormally increased concentration of interleukin 23 in the blood circulation."	"Abnormal circulating interleukin 23 concentration"
<http://purl.obolibrary.org/obo/HP_0410206>	"Increased circulating nicotinurate level"	"An increased amount of nicotinurate in the blood."	"Abnormal circulating nicotinurate concentration"
<http://purl.obolibrary.org/obo/HP_0003268>	"Argininuria"	"A increased concentration of arginine in the urine."	"Increased glutamine family amino acid level in urine"
<http://purl.obolibrary.org/obo/HP_0012239>	"Atransferrinemia"	"Absence of transferrin, a protein that transports iron, in the blood."	"Abnormal circulating transferrin concentration"
<http://purl.obolibrary.org/obo/HP_0003528>	"Elevated circulating calcitonin concentration"	"Concentration of calcitonin, a 32-amino acid polypeptide hormone that is produced primarily by the parafollicular cells of the thyroid, in the blood circulation above the upper limit of normal."	"Abnormal circulating calcitonin concentration"
<http://purl.obolibrary.org/obo/HP_0032306>	"Increased circulating mannose-binding protein concentration"	"Concentration of mannose-binding protein in the blood circulation above the upper limit of normal."	"Abnormal circulating mannose-binding protein concentration"
<http://purl.obolibrary.org/obo/HP_0034614>	"Elevated circulating erythritol concentration"	"Concentration of erythritol in the blood circulation above the upper limit of normal."	"Abnormal circulating carbohydrate concentration"
<http://purl.obolibrary.org/obo/HP_0010914>	"Abnormal circulating valine concentration"	"Any deviation from the normal circulation of valine in the blood circulation."	"Abnormal circulating branched chain amino acid concentration"
<http://purl.obolibrary.org/obo/HP_0003361>	"Tryptophanuria"	"An increased concentration of tryptophan in the urine."	"Increased aromatic amino acid level in urine"
<http://purl.obolibrary.org/obo/HP_0034862>	"Reduced leukocyte steroid sulfatase activity"	"Concentration or activity of an arylsulfatase C as measured in leukocytes is below the limits of normal."	"Abnormal leukocyte enzyme concentration or activity"
<http://purl.obolibrary.org/obo/HP_6000123>	"Elevated urinary 2'-deoxyadenosine level"	"The amount of 2'-deoxyadenosine (dAdo) in the urine, normalized for urine concentration, is above the upper limit of normal."	"Abnormal urinary purine level"
<http://purl.obolibrary.org/obo/HP_0034323>	"Reduced circulating growth hormone concentration"	"Concentration of growth hormone in the blood circulation below normal limits."	"Abnormal growth hormone level"
<http://purl.obolibrary.org/obo/HP_0004920>	"Phenylpyruvic acidemia"		"Acidemia"
<http://purl.obolibrary.org/obo/HP_0003472>	"Hypocalcemic tetany"	"Hyperexcitability of the neuromuscular system related to abnormally low level of calcium in the blood, resulting in carpopedal or generalized spasms."	"Hypocalcemia"
<http://purl.obolibrary.org/obo/HP_0005511>	"Heinz body anemia"	"Anemia characterized by abnormal intracellular inclusions, composed of denatured hemoglobin, found on the membrane of red blood cells."	"Hemolytic anemia"
<http://purl.obolibrary.org/obo/HP_0012545>	"Reduced circulating aldolase concentration"	"Concentration of fructose 1,6-bisphosphate aldolase in the blood circulation below the lower limit of normal."	"Abnormal circulating aldolase concentration"
<http://purl.obolibrary.org/obo/HP_0500190>	"Decreased CSF leucine concentration"@en	"Abnormally decreased levels of leucine in the cerebrospinal fluid."	"Abnormal CSF leucine concentration"
<http://purl.obolibrary.org/obo/HP_0002919>	"Ketonuria"	"High levels of ketone bodies (acetoacetic acid, beta-hydroxybutyric acid, and acetone) in the urine. Ketone bodies are insignificant in the blood and urine of normal individuals in the postprandial or overnight-fasted state."	"Abnormal urine metabolite level"
<http://purl.obolibrary.org/obo/HP_0410246>	"Increased circulating IgD level"	"An abnormally increased level of immunoglobulin D in blood."	"Increased circulating antibody level, Abnormal circulating IgD level"
<http://purl.obolibrary.org/obo/HP_0033101>	"Elevated urine aconitic acid level"	"An abnormally increased level of aconitic acid in the urine."	"Abnormal urine carboxylic acid level"
<http://purl.obolibrary.org/obo/HP_6000482>	"Decreased circulating catecholamine concentration"	"Concentration of a catecholamine in the blood circulation below the lower limit of normal."	"Abnormality of circulating catecholamine level"
<http://purl.obolibrary.org/obo/HP_0012073>	"Abnormal urinary acylglycine profile"	"An abnormal distribution of N-acylglycines in the urine. There are numerous different N-acylglycines, and this term refers to pathological alterations in their level or distribution."	"Increased urine proteinogenic amino acid derivative level"
<http://purl.obolibrary.org/obo/HP_0035030>	"Elevated circulating carnitine concentration"	"Concentration of carnitine in the blood circulation above the upper limit of normal."	"Abnormal circulating carnitine concentration"
<http://purl.obolibrary.org/obo/HP_0032231>	"Hypochromia"	"A qualitative impression that red blood cells have less color than normal when examined under a microscope, usually related to a reduced amount of hemoglobin in the red blood cells."	"Anemia"
<http://purl.obolibrary.org/obo/HP_0030362>	"Reduced muscle carnitine level"	"A reduction in the level of carnitine in muscle tissue."	"Abnormal muscle tissue metabolite concentration"
<http://purl.obolibrary.org/obo/HP_0034689>	"Reduced sterol 27-hydroxylase activity"	"Diminished activity of the enzyme sterol 27-hydroxylase, which participates in the degradation of cholesterol to bile acid. Sterol 27-hydroxylase catalyzes the first step in the normal oxidation of the steroid side chain, converting cholesterol, as well as different 7a-hydroxylated cholesterol metabolites, to 27-oxygenated steroids."	"Abnormal circulating enzyme concentration or activity"
<http://purl.obolibrary.org/obo/HP_0002925>	"Elevated circulating thyroid-stimulating hormone concentration"	"Increased concentration of thyroid-stimulating hormone (TSH) in the blood circulation."	"Abnormal thyroid-stimulating hormone level"
<http://purl.obolibrary.org/obo/HP_0012187>	"Increased erythrocyte protoporphyrin concentration"	"Concentration of protoporphyrins in erythrocytes above the upper limit of normal."	"Elevated circulating porphyrin concentration"
<http://purl.obolibrary.org/obo/HP_0010908>	"Abnormal circulating lysine concentration"	"Any deviation from the normal concentration of lysine in the blood circulation."	"Abnormal circulating aspartate family amino acid concentration"
<http://purl.obolibrary.org/obo/HP_0410230>	"Increased anti-nut food product IgE antibody level"	"Increased level of IgE antibody against nut food products such as peanuts or tree nuts, such as hazelnuts, walnuts, cashews, and almonds."	"Increased anti-food allergen IgE antibody level"
<http://purl.obolibrary.org/obo/HP_0012612>	"Abnormal urinary sulfate concentration"	"Abnormal concentration of sulfate in the urine."	"Abnormal urine metabolite level"
<http://purl.obolibrary.org/obo/HP_0500211>	"Abnormal CSF threonine concentration"@en	"Any deviation from the normal concentration of threonine in the cerebrospinal fluid."	"Abnormal CSF aspartate family amino acid concentration"
<http://purl.obolibrary.org/obo/HP_0045057>	"Decreased circulating alpha-fetoprotein concentration"	"Concentration of alpha-fetoprotein in the blood circulation below the lower limit of normal."	"Abnormal circulating alpha-fetoprotein concentration"
<http://purl.obolibrary.org/obo/HP_0025484>	"Increased circulating thyroglobulin concentration"@en	"An abnormal elevation of the concentration of thyroglobulin, a protein produced in the thyroid gland that acts as a precursor to thyrroid hormones."	"Abnormal circulating thyroglobulin concentration"
<http://purl.obolibrary.org/obo/HP_0410222>	"Increased anti-seafood IgE antibody level"	"Increased level of IgE antibody against seafood, including fish, shrimp, lobster, crab, squid and abalone."	"Increased anti-food allergen IgE antibody level"
<http://purl.obolibrary.org/obo/HP_0005524>	"Macrocytic hemolytic disease"		"Hemolytic anemia"
<http://purl.obolibrary.org/obo/HP_0030344>	"Decreased circulating luteinizing hormone level"	"A reduction in the circulating level of luteinizing hormone (LH)."	"Abnormal circulating luteinizing hormone concentration, Decreased circulating gonadotropin concentration"
<http://purl.obolibrary.org/obo/HP_0031208>	"Increased pituitary glycoprotein hormone alpha subunit level"	"An increased concentration of circulating alpha polypeptide of glycoprotein hormones (NCBI Gene 1081). This alpha subunit is common to luteinizing hormone (LH) , follicle stimulating hormone (FSH) , thyroid stimulating hormone (TSH) and human chorionic gonadotropin (hCG), which are glycoprotein hormones composed of an identical alpha subunit together with a beta subunit that confers biological specificity. The alpha subunit is used as a marker for tumors that produce these hormones."	"Abnormal pituitary glycoprotein hormone alpha subunit level"
<http://purl.obolibrary.org/obo/HP_0012379>	"Abnormal circulating enzyme concentration or activity"	"Concentration or activity of an enzyme is above or below the limits of normal in the blood circulation."	"Abnormal enzyme concentration or activity"
<http://purl.obolibrary.org/obo/HP_0001943>	"Hypoglycemia"	"A decreased concentration of glucose in the blood."	"Abnormal blood glucose concentration"
<http://purl.obolibrary.org/obo/HP_0012656>	"Reduced CSF dopamine concentration"	"Decreased concentration of dopamine in the cerebrospinal fluid (CSF)."	"Abnormal CSF dopamine concentration"
<http://purl.obolibrary.org/obo/HP_0410244>	"Abnormal circulating IgD level"	"An abnormal deviation from normal levels of IgD immunoglobulin in blood."	"Abnormal immunoglobulin level"
<http://purl.obolibrary.org/obo/HP_0500217>	"Increased CSF aspartate concentration"@en	"Abnormally increased levels of aspartic acid in cerebrospinal fluid."	"Abnormal CSF aspartate concentration"
<http://purl.obolibrary.org/obo/HP_0034463>	"Hydroxylysinemia"	"An increased concentration of hydroxylysine in the blood circulation. Hydroxylysine arises from a post-translational hydroxy modification of lysine and is unique to collagen and proteins containing collagen-like sequences. Elevated concentrations of hydroxylysine may indicate increased bone turnover."	"Abnormal circulating lysine concentration"
